gene_id	gene_name	transcript_id	chrom	strand	tss	tx_start	tx_end	length	pol2_signal
ENSG00000002745.13	WNT16	ENST00000361301.6	chr7	+	121325367	121325367	121339458	14092	
ENSG00000002746.15	HECW1	ENST00000395891.7	chr7	+	43112647	43112647	43566001	453355	
ENSG00000002822.16	MAD1L1	ENST00000406869.5	chr7	-	2233243	1815794	2233243	417450	-1.52
ENSG00000002834.19	LASP1	ENST00000433206.6	chr17	+	38869859	38869859	38921769	51911	1.125
ENSG00000002919.15	SNX11	ENST00000359238.7	chr17	+	48107766	48107766	48123601	15836	2.5
ENSG00000002933.9	TMEM176A	ENST00000484928.5	chr7	+	150800403	150800403	150805109	4707	
ENSG00000003056.8	M6PR	ENST00000536844.5	chr12	-	8949761	8940364	8949761	9398	-3.58
ENSG00000003096.15	KLHL13	ENST00000541812.5	chrX	-	118117340	117897814	118117340	219527	
ENSG00000003137.9	CYP26B1	ENST00000546307.5	chr2	-	72147862	72129238	72147862	18625	
ENSG00000003147.19	ICA1	ENST00000406470.6	chr7	-	8262612	8113187	8262612	149426	-1.2
ENSG00000003249.15	DBNDD1	ENST00000568838.2	chr16	-	90019890	90004871	90019890	15020	-1.6153846
ENSG00000003393.16	ALS2	ENST00000680861.1	chr2	-	201782112	201700565	201782112	81548	
ENSG00000003400.16	CASP10	ENST00000696199.1	chr2	+	201183141	201183141	201229428	46288	1.6944444
ENSG00000003402.21	CFLAR	ENST00000309955.8	chr2	+	201116164	201116164	201176687	60524	1.1428572
ENSG00000003436.16	TFPI	ENST00000233156.9	chr2	-	187554435	187464230	187554435	90206	-1.725
ENSG00000003509.16	NDUFAF7	ENST00000002125.9	chr2	+	37231658	37231658	37249160	17503	1.8867924
ENSG00000003756.17	RBM5	ENST00000347869.8	chr3	+	50088919	50088919	50119021	30103	2.9729729
ENSG00000003987.14	MTMR7	ENST00000180173.10	chr8	-	17413351	17296794	17413351	116558	
ENSG00000003989.18	SLC7A2	ENST00000494857.6	chr8	+	17497088	17497088	17570566	73479	
ENSG00000004059.11	ARF5	ENST00000000233.10	chr7	+	127588411	127588411	127591700	3290	2.403226
ENSG00000004139.14	SARM1	ENST00000585482.6	chr17	+	28371694	28371694	28404049	32356	1.1666666
ENSG00000004142.12	POLDIP2	ENST00000540200.6	chr17	-	28357527	28346633	28357527	10895	-3.7906976
ENSG00000004399.13	PLXND1	ENST00000324093.9	chr3	-	129606676	129555214	129606676	51463	-1.4
ENSG00000004455.18	AK2	ENST00000672715.1	chr1	-	33036883	33007986	33036883	28898	-1.4117647
ENSG00000004468.13	CD38	ENST00000226279.8	chr4	+	15778328	15778328	15853232	74905	
ENSG00000004478.8	FKBP4	ENST00000001008.6	chr12	+	2794970	2794970	2805423	10454	3.0384614
ENSG00000004487.18	KDM1A	ENST00000356634.7	chr1	+	23019448	23019448	23083689	64242	4.0921054
ENSG00000004534.15	RBM6	ENST00000442092.5	chr3	+	49940007	49940007	50077249	137243	4.4615383
ENSG00000004660.15	CAMKK1	ENST00000348335.7	chr17	-	3893053	3860315	3893053	32739	-1.2962962
ENSG00000004700.16	RECQL	ENST00000444129.7	chr12	-	21501635	21468910	21501635	32726	-2.0612245
ENSG00000004766.17	VPS50	ENST00000544910.5	chr7	+	93232340	93232340	93361121	128782	1.2777778
ENSG00000004776.13	HSPB6	ENST00000004982.6	chr19	-	35757029	35754566	35757029	2464	-1.0
ENSG00000004777.19	ARHGAP33	ENST00000378944.9	chr19	+	35775515	35775515	35788822	13308	2.3181818
ENSG00000004779.10	NDUFAB1	ENST00000007516.8	chr16	-	23596316	23581014	23596316	15303	-2.7222223
ENSG00000004799.8	PDK4	ENST00000005178.6	chr7	-	95596516	95583499	95596516	13018	-1.0
ENSG00000004809.14	SLC22A16	ENST00000368919.8	chr6	-	110476613	110424687	110476613	51927	
ENSG00000004838.14	ZMYND10	ENST00000231749.8	chr3	-	50345732	50341112	50345732	4621	-1.0
ENSG00000004846.17	ABCB5	ENST00000404938.7	chr7	+	20615667	20615667	20757008	141342	
ENSG00000004848.8	ARX	ENST00000379044.5	chrX	-	25015965	25003694	25015965	12272	-1.0
ENSG00000004864.14	SLC25A13	ENST00000416240.6	chr7	-	96322147	96120221	96322147	201927	-2.122449
ENSG00000004866.22	ST7	ENST00000393446.6	chr7	+	116953238	116953238	117230096	276859	1.5172414
ENSG00000004897.12	CDC27	ENST00000066544.8	chr17	-	47189295	47117703	47189295	71593	-2.8333333
ENSG00000004939.16	SLC4A1	ENST00000262418.12	chr17	-	44268135	44248390	44268135	19746	-1.0
ENSG00000004948.16	CALCR	ENST00000426151.7	chr7	-	93574724	93424486	93574724	150239	
ENSG00000004961.15	HCCS	ENST00000321143.8	chrX	+	11111301	11111301	11123078	11778	5.1666665
ENSG00000004975.12	DVL2	ENST00000005340.10	chr17	-	7234517	7225342	7234517	9176	-3.340909
ENSG00000005001.10	PRSS22	ENST00000161006.8	chr16	-	2858170	2852730	2858170	5441	
ENSG00000005007.14	UPF1	ENST00000704676.1	chr19	+	18831959	18831959	18868230	36272	3.887097
ENSG00000005020.13	SKAP2	ENST00000432747.1	chr7	-	26995239	26738840	26995239	256400	
ENSG00000005022.6	SLC25A5	ENST00000317881.9	chrX	+	119468444	119468444	119471396	2953	2.6888888
ENSG00000005059.16	MCUB	ENST00000394650.7	chr4	+	109560246	109560246	109688719	128474	3.5454545
ENSG00000005073.6	HOXA11	ENST00000006015.4	chr7	-	27185232	27181157	27185232	4076	
ENSG00000005075.16	POLR2J	ENST00000292614.10	chr7	-	102478922	102473128	102478922	5795	-4.9444447
ENSG00000005100.13	DHX33	ENST00000225296.8	chr17	-	5468982	5440917	5468982	28066	-1.4473684
ENSG00000005102.14	MEOX1	ENST00000318579.9	chr17	-	43661922	43640389	43661922	21534	
ENSG00000005108.17	THSD7A	ENST00000423059.9	chr7	-	11832198	11370365	11832198	461834	-1.0
ENSG00000005156.12	LIG3	ENST00000378526.9	chr17	+	34980512	34980512	35009743	29232	1.8695652
ENSG00000005175.10	RPAP3	ENST00000005386.8	chr12	-	47706030	47661249	47706030	44782	-10.114754
ENSG00000005187.12	ACSM3	ENST00000568235.5	chr16	+	20610243	20610243	20775920	165678	
ENSG00000005189.20	REXO5	ENST00000348433.10	chr16	+	20806521	20806521	20849665	43145	3.046875
ENSG00000005194.15	CIAPIN1	ENST00000567518.5	chr16	-	57447419	57428187	57447419	19233	-4.8863635
ENSG00000005206.17	SPPL2B	ENST00000613503.5	chr19	+	2328684	2328684	2355095	26412	3.7777777
ENSG00000005238.20	ATOSB	ENST00000605244.5	chr9	-	35116341	35104121	35116341	12221	-1.0
ENSG00000005243.10	COPZ2	ENST00000621465.5	chr17	-	48037797	48026167	48037797	11631	
ENSG00000005249.14	PRKAR2B	ENST00000265717.5	chr7	+	107044705	107044705	107161811	117107	3.2705882
ENSG00000005302.19	MSL3	ENST00000361672.6	chrX	+	11758159	11758159	11775747	17589	1.3
ENSG00000005339.15	CREBBP	ENST00000262367.10	chr16	-	3880713	3725054	3880713	155660	-3.131579
ENSG00000005379.17	TSPOAP1	ENST00000343736.9	chr17	-	58328795	58301231	58328795	27565	-4.7173915
ENSG00000005381.9	MPO	ENST00000225275.4	chr17	-	58280935	58269855	58280935	11081	-1.0
ENSG00000005421.9	PON1	ENST00000222381.8	chr7	-	95324532	95297676	95324532	26857	
ENSG00000005436.14	GCFC2	ENST00000541687.5	chr2	-	75710985	75662708	75710985	48278	-7.0153847
ENSG00000005448.17	WDR54	ENST00000348227.4	chr2	+	74421730	74421730	74425755	4026	1.2
ENSG00000005469.12	CROT	ENST00000331536.8	chr7	+	87345664	87345664	87399794	54131	3.0
ENSG00000005471.19	ABCB4	ENST00000649586.2	chr7	-	87475680	87401696	87475680	73985	
ENSG00000005483.23	KMT2E	ENST00000622386.2	chr7	+	104941552	104941552	105077327	135776	1.0
ENSG00000005486.17	RHBDD2	ENST00000318622.8	chr7	+	75878999	75878999	75888926	9928	4.7027025
ENSG00000005513.11	SOX8	ENST00000711625.1	chr16	+	981730	981730	986979	5250	
ENSG00000005700.15	IBTK	ENST00000306270.12	chr6	-	82247744	82169987	82247744	77758	-2.6
ENSG00000005801.18	ZNF195	ENST00000528796.5	chr11	-	3379133	3339261	3379133	39873	-2.3488371
ENSG00000005810.20	MYCBP2	ENST00000684354.1	chr13	-	77327094	77042474	77327094	284621	-2.0344827
ENSG00000005812.11	FBXL3	ENST00000355619.10	chr13	-	77027159	77005260	77027159	21900	-2.9387755
ENSG00000005844.19	ITGAL	ENST00000356798.11	chr16	+	30472742	30472742	30523185	50444	
ENSG00000005882.12	PDK2	ENST00000503176.6	chr17	+	50095351	50095351	50112152	16802	1.5
ENSG00000005884.18	ITGA3	ENST00000320031.13	chr17	+	50056110	50056110	50090481	34372	
ENSG00000005889.16	ZFX	ENST00000539115.5	chrX	+	24149645	24149645	24216255	66611	1.88
ENSG00000005893.17	LAMP2	ENST00000200639.9	chrX	-	120469296	120426148	120469296	43149	-1.9166666
ENSG00000005961.19	ITGA2B	ENST00000262407.6	chr17	-	44389649	44372181	44389649	17469	-1.3571428
ENSG00000005981.13	ASB4	ENST00000325885.6	chr7	+	95485943	95485943	95540233	54291	
ENSG00000006007.12	GDE1	ENST00000353258.8	chr16	-	19522098	19501693	19522098	20406	-3.1384616
ENSG00000006015.18	REX1BD	ENST00000450195.6	chr19	+	18588796	18588796	18592336	3541	5.7090907
ENSG00000006016.12	CRLF1	ENST00000684169.1	chr19	-	18606799	18593237	18606799	13563	-2.0
ENSG00000006025.13	OSBPL7	ENST00000007414.8	chr17	-	47821794	47807372	47821794	14423	-3.018868
ENSG00000006042.12	TMEM98	ENST00000578289.5	chr17	+	32928204	32928204	32945106	16903	1.8888888
ENSG00000006047.13	YBX2	ENST00000007699.10	chr17	-	7294639	7288263	7294639	6377	-1.0
ENSG00000006059.4	KRT33A	ENST00000007735.4	chr17	-	41350828	41346092	41350828	4737	
ENSG00000006062.18	MAP3K14	ENST00000344686.8	chr17	-	45317020	45263119	45317020	53902	-4.629032
ENSG00000006071.16	ABCC8	ENST00000644772.1	chr11	-	17476807	17392498	17476807	84310	
ENSG00000006116.4	CACNG3	ENST00000005284.4	chr16	+	24256335	24256335	24362412	106078	
ENSG00000006118.15	TMEM132A	ENST00000453848.7	chr11	+	60924460	60924460	60937159	12700	1.1666666
ENSG00000006125.18	AP2B1	ENST00000621914.4	chr17	+	35587274	35587274	35726409	139136	1.5
ENSG00000006128.12	TAC1	ENST00000319273.10	chr7	+	97732086	97732086	97740472	8387	
ENSG00000006194.11	ZNF263	ENST00000575332.2	chr16	+	3283456	3283456	3301382	17927	2.7384615
ENSG00000006210.7	CX3CL1	ENST00000563383.1	chr16	+	57372477	57372477	57385041	12565	
ENSG00000006282.22	SPATA20	ENST00000356488.8	chr17	+	50547126	50547126	50555852	8727	1.5
ENSG00000006283.18	CACNA1G	ENST00000359106.10	chr17	+	50560715	50560715	50627474	66760	3.0
ENSG00000006327.14	TNFRSF12A	ENST00000573001.5	chr16	+	3018445	3018445	3022086	3642	2.3333333
ENSG00000006377.11	DLX6	ENST00000518156.3	chr7	+	97005553	97005553	97011040	5488	
ENSG00000006432.16	MAP3K9	ENST00000554752.7	chr14	-	70809513	70722526	70809513	86988	-1.1428572
ENSG00000006451.8	RALA	ENST00000005257.7	chr7	+	39623572	39623572	39708120	84549	3.122449
ENSG00000006453.14	BAIAP2L1	ENST00000005260.9	chr7	-	98401090	98291650	98401090	109441	-3.59375
ENSG00000006459.11	KDM7A	ENST00000397560.7	chr7	-	140176983	140084746	140176983	92238	-2.4210527
ENSG00000006468.15	ETV1	ENST00000430479.6	chr7	-	13989666	13891229	13989666	98438	-1.7083334
ENSG00000006530.18	AGK	ENST00000649286.2	chr7	+	141551410	141551410	141655244	103835	8.680555
ENSG00000006534.17	ALDH3B1	ENST00000614849.4	chr11	+	68008578	68008578	68028696	20119	
ENSG00000006555.11	TTC22	ENST00000371276.9	chr1	-	54801323	54779712	54801323	21612	
ENSG00000006576.17	PHTF2	ENST00000416283.6	chr7	+	77798792	77798792	77957503	158712	2.7121212
ENSG00000006606.9	CCL26	ENST00000394905.2	chr7	-	75789896	75769533	75789896	20364	
ENSG00000006607.14	FARP2	ENST00000264042.8	chr2	+	241356285	241356285	241494841	138557	5.673077
ENSG00000006611.17	USH1C	ENST00000318024.9	chr11	-	17544416	17493900	17544416	50517	-1.0
ENSG00000006625.18	GGCT	ENST00000005374.10	chr7	-	30504841	30496623	30504841	8219	-1.9583334
ENSG00000006634.8	DBF4	ENST00000265728.6	chr7	+	87876493	87876493	87909553	33061	1.7021277
ENSG00000006638.13	TBXA2R	ENST00000375190.10	chr19	-	3606875	3594507	3606875	12369	-1.7837838
ENSG00000006652.15	IFRD1	ENST00000675578.1	chr7	+	112422887	112422887	112477156	54270	
ENSG00000006659.13	LGALS14	ENST00000392052.8	chr19	+	39704481	39704481	39709444	4964	
ENSG00000006695.12	COX10	ENST00000261643.8	chr17	+	14069504	14069504	14208677	139174	3.2333333
ENSG00000006704.11	GTF2IRD1	ENST00000265755.7	chr7	+	74453790	74453790	74602590	148801	2.3157895
ENSG00000006712.15	PAF1	ENST00000221265.8	chr19	-	39391106	39385629	39391106	5478	-2.471698
ENSG00000006715.16	VPS41	ENST00000310301.9	chr7	-	38909191	38722974	38909191	186218	-4.4
ENSG00000006740.18	ARHGAP44	ENST00000379672.10	chr17	+	12789498	12789498	12991643	202146	1.5
ENSG00000006744.19	ELAC2	ENST00000338034.9	chr17	-	13018027	12991612	13018027	26416	-2.4
ENSG00000006747.15	SCIN	ENST00000297029.10	chr7	+	12570720	12570720	12660182	89463	1.375
ENSG00000006756.16	ARSD	ENST00000381154.6	chrX	-	2929339	2903972	2929339	25368	
ENSG00000006757.12	PNPLA4	ENST00000381042.9	chrX	-	7927413	7898247	7927413	29167	-2.488889
ENSG00000006788.14	MYH13	ENST00000418404.8	chr17	-	10373130	10300865	10373130	72266	
ENSG00000006831.10	ADIPOR2	ENST00000357103.5	chr12	+	1691070	1691070	1788674	97605	2.2
ENSG00000006837.12	CDKL3	ENST00000523054.5	chr5	-	134371041	134298629	134371041	72413	-2.5555556
ENSG00000007001.14	UPP2	ENST00000605860.5	chr2	+	157876702	157876702	158136154	259453	1.6222222
ENSG00000007038.11	PRSS21	ENST00000450020.7	chr16	+	2817180	2817180	2821719	4540	1.5714285
ENSG00000007047.16	MARK4	ENST00000587566.5	chr19	+	45079288	45079288	45266246	186959	2.1875
ENSG00000007062.12	PROM1	ENST00000505450.5	chr4	-	16084378	15968228	16084378	116151	
ENSG00000007080.11	CCDC124	ENST00000445755.7	chr19	+	17933015	17933015	17943985	10971	3.7297297
ENSG00000007129.18	CEACAM21	ENST00000407170.6	chr19	+	41549518	41549518	41586843	37326	
ENSG00000007168.15	PAFAH1B1	ENST00000576586.6	chr17	+	2593183	2593183	2685615	92433	1.5
ENSG00000007171.19	NOS2	ENST00000313735.11	chr17	-	27800529	27756766	27800529	43764	
ENSG00000007174.18	DNAH9	ENST00000262442.9	chr17	+	11598470	11598470	11969748	371279	1.0
ENSG00000007202.16	BLTP2	ENST00000528896.7	chr17	-	28645158	28614446	28645158	30713	-5.1666665
ENSG00000007216.16	SLC13A2	ENST00000444914.7	chr17	+	28473293	28473293	28497778	24486	
ENSG00000007237.19	GAS7	ENST00000432992.7	chr17	-	10198606	9910606	10198606	288001	
ENSG00000007255.10	TRAPPC6A	ENST00000588062.5	chr19	-	45178237	45162928	45178237	15310	-1.537037
ENSG00000007264.15	MATK	ENST00000395045.6	chr19	-	3801812	3777975	3801812	23838	-1.0
ENSG00000007306.15	CEACAM7	ENST00000006724.7	chr19	-	41688367	41673307	41688367	15061	
ENSG00000007312.14	CD79B	ENST00000392795.7	chr17	-	63932336	63928740	63932336	3597	
ENSG00000007314.12	SCN4A	ENST00000435607.3	chr17	-	63972918	63938554	63972918	34365	-1.0
ENSG00000007341.19	ST7L	ENST00000360743.8	chr1	-	112619189	112523518	112619189	95672	-2.275
ENSG00000007350.18	TKTL1	ENST00000369915.8	chrX	+	154295795	154295795	154330350	34556	
ENSG00000007372.25	PAX6	ENST00000638914.3	chr11	-	31817961	31784792	31817961	33170	
ENSG00000007376.8	RPUSD1	ENST00000007264.7	chr16	-	788381	784974	788381	3408	-3.6190476
ENSG00000007384.15	RHBDF1	ENST00000262316.10	chr16	-	72631	58059	72631	14573	-1.6296296
ENSG00000007392.17	LUC7L	ENST00000337351.8	chr16	-	229463	188969	229463	40495	-5.96875
ENSG00000007402.12	CACNA2D2	ENST00000360963.7	chr3	-	50504244	50362802	50504244	141443	
ENSG00000007516.15	BAIAP3	ENST00000397488.6	chr16	+	1333643	1333643	1349438	15796	2.0
ENSG00000007520.4	TSR3	ENST00000007390.3	chr16	-	1351878	1349240	1351878	2639	-3.0681818
ENSG00000007541.17	PIGQ	ENST00000409527.6	chr16	+	567009	567009	583035	16027	1.6969697
ENSG00000007545.16	CRAMP1	ENST00000397412.8	chr16	+	1612360	1612360	1677908	65549	2.6833334
ENSG00000007866.22	TEAD3	ENST00000338863.13	chr6	-	35497079	35473597	35497079	23483	-1.3478261
ENSG00000007908.16	SELE	ENST00000609271.1	chr1	-	169764705	169733577	169764705	31129	
ENSG00000007923.17	DNAJC11	ENST00000377577.10	chr1	-	6701816	6634170	6701816	67647	-4.8717947
ENSG00000007933.13	FMO3	ENST00000367755.9	chr1	+	171090905	171090905	171117819	26915	
ENSG00000007944.16	MYLIP	ENST00000718321.1	chr6	+	16129086	16129086	16151367	22282	28.517544
ENSG00000007952.18	NOX1	ENST00000372966.8	chrX	-	100874359	100843324	100874359	31036	
ENSG00000007968.7	E2F2	ENST00000361729.3	chr1	-	23531233	23506438	23531233	24796	-2.195122
ENSG00000008018.9	PSMB1	ENST00000262193.7	chr6	-	170553307	170535120	170553307	18188	-6.7444444
ENSG00000008056.14	SYN1	ENST00000340666.5	chrX	-	47619857	47571901	47619857	47957	-2.7857144
ENSG00000008083.14	JARID2	ENST00000341776.7	chr6	+	15246069	15246069	15522042	275974	1.9454546
ENSG00000008086.13	CDKL5	ENST00000379996.7	chrX	+	18425583	18425583	18653625	228043	1.0
ENSG00000008118.10	CAMK1G	ENST00000361322.3	chr1	+	209583714	209583714	209613939	30226	
ENSG00000008128.23	CDK11A	ENST00000404249.8	chr1	-	1724357	1702379	1724357	21979	-3.6235294
ENSG00000008130.15	NADK	ENST00000378625.5	chr1	-	1780069	1751232	1780069	28838	-1.4285715
ENSG00000008196.13	TFAP2B	ENST00000393655.4	chr6	+	50818871	50818871	50847619	28749	
ENSG00000008197.5	TFAP2D	ENST00000008391.4	chr6	+	50713526	50713526	50773033	59508	
ENSG00000008226.20	DLEC1	ENST00000308059.11	chr3	+	38039208	38039208	38124025	84818	1.0
ENSG00000008256.17	CYTH3	ENST00000350796.8	chr7	-	6272624	6161779	6272624	110846	-2.7045455
ENSG00000008277.15	ADAM22	ENST00000398204.8	chr7	+	87934143	87934143	88202889	268747	1.2
ENSG00000008282.10	SYPL1	ENST00000011473.6	chr7	-	106112576	106090505	106112576	22072	-1.3076923
ENSG00000008283.16	CYB561	ENST00000360793.8	chr17	-	63446306	63432304	63446306	14003	-1.1538461
ENSG00000008294.22	SPAG9	ENST00000262013.12	chr17	-	51120868	50962174	51120868	158695	-3.6666667
ENSG00000008300.17	CELSR3	ENST00000164024.5	chr3	-	48662886	48636463	48662886	26424	-1.25
ENSG00000008311.16	AASS	ENST00000417368.7	chr7	-	122144249	122073549	122144249	70701	
ENSG00000008323.16	PLEKHG6	ENST00000011684.11	chr12	+	6310436	6310436	6328505	18070	1.0
ENSG00000008324.12	SS18L2	ENST00000447630.5	chr3	+	42581840	42581840	42595114	13275	1.1666666
ENSG00000008382.16	MPND	ENST00000262966.12	chr19	+	4343527	4343527	4360086	16560	4.7727275
ENSG00000008394.13	MGST1	ENST00000535309.5	chr12	+	16347694	16347694	16377192	29499	1.3
ENSG00000008405.12	CRY1	ENST00000008527.10	chr12	-	107093549	106991364	107093549	102186	-6.3580246
ENSG00000008438.5	PGLYRP1	ENST00000008938.5	chr19	-	46023053	46019153	46023053	3901	
ENSG00000008441.19	NFIX	ENST00000592199.6	chr19	+	12995475	12995475	13098796	103322	1.826087
ENSG00000008513.17	ST3GAL1	ENST00000521180.5	chr8	-	133571925	133454853	133571925	117073	-1.3333334
ENSG00000008516.19	MMP25	ENST00000850602.1	chr16	+	3046561	3046561	3060729	14169	1.0
ENSG00000008517.19	IL32	ENST00000525377.6	chr16	+	3065641	3065641	3082192	16552	1.0
ENSG00000008710.20	PKD1	ENST00000262304.9	chr16	-	2135898	2088708	2135898	47191	-1.0
ENSG00000008735.14	MAPK8IP2	ENST00000329492.6	chr22	+	50600793	50600793	50613978	13186	1.0
ENSG00000008838.21	MED24	ENST00000356271.7	chr17	-	40054407	40019098	40054407	35310	-2.53125
ENSG00000008853.18	RHOBTB2	ENST00000519685.5	chr8	+	22987417	22987417	23018441	31025	
ENSG00000008869.12	HEATR5B	ENST00000233099.6	chr2	-	37084372	36980895	37084372	103478	-1.8205128
ENSG00000008952.17	SEC62	ENST00000337002.9	chr3	+	169966807	169966807	169998373	31567	6.219512
ENSG00000008988.11	RPS20	ENST00000519807.5	chr8	-	56074509	56067295	56074509	7215	-17.569445
ENSG00000009307.17	CSDE1	ENST00000610726.5	chr1	-	114758014	114716916	114758014	41099	-6.109091
ENSG00000009335.19	UBE3C	ENST00000348165.10	chr7	+	157138926	157138926	157269370	130445	5.8636365
ENSG00000009413.17	REV3L	ENST00000358835.7	chr6	-	111483715	111299052	111483715	184664	-2.2592592
ENSG00000009694.14	TENM1	ENST00000422452.4	chrX	-	125204312	124375903	125204312	828410	-1.0
ENSG00000009709.13	PAX7	ENST00000420770.7	chr1	+	18630846	18630846	18748866	118021	
ENSG00000009724.18	MASP2	ENST00000700088.1	chr1	-	11047207	11022009	11047207	25199	-1.0
ENSG00000009765.15	IYD	ENST00000344419.8	chr6	+	150369012	150369012	150405969	36958	
ENSG00000009780.16	FAM76A	ENST00000373954.11	chr1	+	27725961	27725961	27763116	37156	7.2105265
ENSG00000009790.15	TRAF3IP3	ENST00000367025.8	chr1	+	209756053	209756053	209782310	26258	
ENSG00000009830.13	POMT2	ENST00000261534.9	chr14	-	77320883	77274956	77320883	45928	-1.55
ENSG00000009844.16	VTA1	ENST00000367630.9	chr6	+	142147263	142147263	142224685	77423	3.6666667
ENSG00000009950.16	MLXIPL	ENST00000354613.5	chr7	-	73624540	73593194	73624540	31347	-5.3166666
ENSG00000009954.11	BAZ1B	ENST00000339594.9	chr7	-	73522293	73440406	73522293	81888	-2.952381
ENSG00000010017.13	RANBP9	ENST00000011619.6	chr6	-	13711835	13621498	13711835	90338	-2.642857
ENSG00000010030.14	ETV7	ENST00000339796.9	chr6	-	36387566	36354091	36387566	33476	
ENSG00000010072.16	SPRTN	ENST00000295050.12	chr1	+	231338293	231338293	231355023	16731	2.5555556
ENSG00000010165.20	METTL13	ENST00000361735.4	chr1	+	171781660	171781660	171797716	16057	4.586207
ENSG00000010219.14	DYRK4	ENST00000543431.6	chr12	+	4562208	4562208	4613875	51668	1.8863636
ENSG00000010244.19	ZNF207	ENST00000394670.9	chr17	+	32350157	32350157	32381885	31729	2.6086957
ENSG00000010256.12	UQCRC1	ENST00000203407.6	chr3	-	48609646	48599002	48609646	10645	-3.7166667
ENSG00000010270.14	STARD3NL	ENST00000009041.12	chr7	+	38178245	38178245	38230669	52425	1.6170213
ENSG00000010278.15	CD9	ENST00000382518.6	chr12	+	6199715	6199715	6238271	38557	
ENSG00000010282.15	HHATL	ENST00000441594.6	chr3	-	42702798	42692663	42702798	10136	
ENSG00000010292.13	NCAPD2	ENST00000315579.10	chr12	+	6494102	6494102	6531955	37854	2.2131147
ENSG00000010295.20	IFFO1	ENST00000396840.6	chr12	-	6556071	6539528	6556071	16544	-1.0
ENSG00000010310.9	GIPR	ENST00000590918.6	chr19	+	45668221	45668221	45683722	15502	5.117647
ENSG00000010318.22	PHF7	ENST00000327906.8	chr3	+	52410660	52410660	52423641	12982	3.4155843
ENSG00000010319.7	SEMA3G	ENST00000231721.7	chr3	-	52445103	52433035	52445103	12069	-1.6
ENSG00000010322.16	NISCH	ENST00000479054.5	chr3	+	52455118	52455118	52493068	37951	
ENSG00000010327.10	STAB1	ENST00000321725.10	chr3	+	52495338	52495338	52524495	29158	
ENSG00000010361.14	FUZ	ENST00000313777.9	chr19	-	49813292	49806866	49813292	6427	-1.45
ENSG00000010379.16	SLC6A13	ENST00000445055.6	chr12	-	262873	220621	262873	42253	-1.0
ENSG00000010404.18	IDS	ENST00000340855.11	chrX	-	149505306	149476988	149505306	28319	-1.804878
ENSG00000010438.17	PRSS3	ENST00000361005.10	chr9	+	33750679	33750679	33799231	48553	
ENSG00000010539.12	ZNF200	ENST00000396871.8	chr16	-	3235457	3222342	3235457	13116	-1.0
ENSG00000010610.10	CD4	ENST00000011653.9	chr12	+	6789528	6789528	6820799	31272	1.0
